submission_id,QUD,RT,age,comments,condition,education,endTime,experiment_id,gender,item,languages,min_chars,option1,option2,option3,phase,question,response,role_noun,sample_info,startDate,startTime,stereotype,timeSpent,trial_name,trial_number
3511,,34024,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,gender-neutral,Abitur,1655314540506,302,weiblich,33,deutsch,2,NA,NA,NA,1,"Mediziner*innen tragen eine große Verantwortung. <br /> ____ kontrolliert jedes Rezept, das ausgestellt wird mehrfach, um Fehler zu vermeiden. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.",Katharina,Mediziner*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,neutral,21.806,filler_sentences,1
3511,,12657,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,male,Abitur,1655314540506,302,weiblich,36,deutsch,2,NA,NA,NA,1,"Während der Pandemie vermissten die Studenten vor allem die Mensa. <br /> ____ geht jeden Tag essen, seit sie wieder geöffnet ist. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.",Finn,Student*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,neutral,21.806,filler_sentences,1
3511,,33500,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,female,Abitur,1655314540506,302,weiblich,17,deutsch,2,NA,NA,NA,1,Urbane Bürgermeisterinnen haben andere Prioritäten als jene auf dem Land. <br />	__________ legt das Hauptaugenmerk in der aktuellen Kampagne auf Innovation und Klimaschutz. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.,Annette,Bürgermeister*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,male,21.806,filler_sentences,1
3511,,20552,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,gender-neutral,Abitur,1655314540506,302,weiblich,24,deutsch,2,NA,NA,NA,1,Während einer Nachtschicht wird der Dienst von Taxifahrer*innen hauptsächlich von Betrunkenen in Anspruch genommen. <br />	____ arbeitet deswegen lieber tagsüber. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.,Sandra,Taxifahrer*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,male,21.806,filler_sentences,1
3511,,15643,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,gender-neutral,Abitur,1655314540506,302,weiblich,7,deutsch,2,NA,NA,NA,1,Bei den ganzen neuen Trends kommen Friseur*innen kaum noch hinterher.<br /> ___________ schneidet am liebsten klassische Frisuren. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.,Mustafa,Friseur*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,female,21.806,filler_sentences,1
3511,,25398,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,female,Abitur,1655314540506,302,weiblich,14,deutsch,2,NA,NA,NA,1,Seit einiger Zeit nehmen Metzgerinnen auch vegetarische Produkte in ihr Sortiment auf. <br /> __________ bietet jetzt auch Gemüsefrikadellen an der Frischetheke an. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.,Monika,Metzger*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,male,21.806,filler_sentences,1
3511,,25410,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,male,Abitur,1655314540506,302,weiblich,18,deutsch,2,NA,NA,NA,1,"Die erfolgreiche Festnahme von Mördern nimmt aufgrund technologischen Fortschritts immer weiter zu. <br />	__________ konnte aufgrund von Videoüberwachung und der Ortung des Smartphones schnell verhaftet werden, bevor es ein neues Opfer gab. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.",Jürgen,Mörder*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,male,21.806,filler_sentences,1
3511,,54419,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,gender-neutral,Abitur,1655314540506,302,weiblich,16,deutsch,2,NA,NA,NA,1,Organisation und Führungsstärke gehören zu den wichtigsten Merkmalen von Manager*innen. <br /> __________ legt trotzdem viel Wert auf ein freundliches Arbeitsklima im Büro. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.,Leona,Manager*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,male,21.806,filler_sentences,1
3511,,17319,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,male,Abitur,1655314540506,302,weiblich,20,deutsch,2,NA,NA,NA,1,"Auf dem Weltklima-Gipfel versammeln sich unter anderem Präsidenten verschiedener Länder, um über eine politische Zusammenarbeit zu diskutieren. <br />	____ ist für die Einführung einer einheitlichen, verpflichtenden CO2-Besteuerung. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.",Joel,Präsident*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,male,21.806,filler_sentences,1
3511,,15139,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,female,Abitur,1655314540506,302,weiblich,22,deutsch,2,NA,NA,NA,1,In Deutschland dürfen Soldatinnen kostenlos die öffentlichen Verkehrsmittel nutzen. <br />	____ besucht deshalb jede Woche die Familie. <br /> <br />Bitte schreibe einen passenden Namen in das Feld.,Phillip,Soldat*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,male,21.806,filler_sentences,1
3511,,12055,25,Spannendes Experiment. Ich bin gespannt auf die Ergebnisse!,gender-neutral,Abitur,1655314540506,302,weiblich,12,deutsch,2,NA,NA,NA,1,"Die Fast-Fashion Industrie sorgt dafür, dass Schneider*innen kaum noch Aufträge bekommen. <br /> __________ sucht daher nach einem Nebenjob, um die Miete bezahlen zu können. <br /><br /> Bitte schreibe einen passenden Namen in das Feld.",Nadja,Schneider*innen,,Wed Jun 15 2022 19:13:52 GMT+0200 (Mitteleuropäische Sommerzeit),1655313232146,female,21.806,filler_sentences,1
